宇宙飛行士,4165,うちゅうひこうし,astronaut
探偵事務所,8448,たんていじむしょ,detective bureau
重要参考人,9150,じゅうようさんこうにん,material witness
留守番電話,9633,るすばんでんわ,answering machine
法律事務所,9904,ほうりつじむしょ,law office
教育委員会,10737,きょういくいいんかい,Board of Education
結婚記念日,12091,けっこんきねんび,wedding anniversary
児童相談所,12629,じどうそうだんじょ,child consultation center
顧問弁護士,14468,こもんべんごし,legal adviser
必要不可欠,15438,ひつようふかけつ,essential
広告代理店,16266,こうこくだいりてん,advertising agency
連帯保証人,16461,れんたいほしょうにん,joint surety
高所恐怖症,17358,こうしょきょうふしょう,fear of heights
人工呼吸器,17365,じんこうこきゅうき,artificial respirator
倫理委員会,17909,りんりいいんかい,ethics committee
自動販売機,17990,じどうはんばいき,vending machine
気象予報士,18249,きしょうよほうし,weather forecaster
行方不明者,18429,ゆくえふめいしゃ,missing person
不動産会社,18772,ふどうさんがいしゃ,real estate company
航空自衛隊,18899,こうくうじえいたい,Air Self-Defense Force
労働基準法,19640,ろうどうきじゅんほう,Labor Standards Act
無差別殺人,20040,むさべつさつじん,indiscriminant killing
連続殺人犯,20280,れんぞくさつじんはん,serial killer
分離主義者,20498,ぶんりしゅぎしゃ,separatists
代表取締役,20843,だいひょうとりしまりやく,representative director
海上保安庁,20933,かいじょうほあんちょう,Japan Coast Guard (formerly Maritime Safety Agency)
遠距離恋愛,21188,えんきょりれんあい,long distance relationship
死体検案書,21323,したいけんあんしょ,post-mortem certificate
学級委員長,21484,がっきゅういいんちょう,class president
征夷大将軍,21506,せいいたいしょうぐん,commander-in-chief of the expeditionary force against the barbarians
身分証明書,21816,みぶんしょうめいしょ,identification papers
一酸化炭素,21846,いっさんかたんそ,carbon monoxide
厚生労働省,22091,こうせいろうどうしょう,Ministry of Health
放射線治療,22880,ほうしゃせんちりょう,radiation therapy
衆議院議員,22963,しゅうぎいんぎいん,member of the Lower House
国家公務員,23090,こっかこうむいん,government official
家庭内暴力,23647,かていないぼうりょく,household violence (esp. adolescent children towards parents)
査問委員会,23694,さもんいいんかい,court of inquiry
未確認生物,23964,みかくにんせいぶつ,mysterious and unconfirmed animals (e.g. chupacabra
不法滞在者,24115,ふほうたいざいしゃ,illegal resident (in a country)
国会議事堂,24170,こっかいぎじどう,national parliament or congress building (e.g. National Diet Building (Japan)
客室乗務員,24184,きゃくしつじょうむいん,cabin crew
読書感想文,24321,どくしょかんそうぶん,book report
家庭裁判所,24477,かていさいばんしょ,family court
屋根裏部屋,24487,やねうらべや,attic
硬膜下血腫,24573,こうまくかけっしゅ,subdural hematoma
女性警察官,24750,じょせいけいさつかん,policewoman
犯罪心理学,24833,はんざいしんりがく,criminal psychology
精神的苦痛,24862,せいしんてきくつう,mental anguish
蒸気機関車,24888,じょうききかんしゃ,steam locomotive
日常茶飯事,25117,にちじょうさはんじ,everyday occurrence
自意識過剰,25201,じいしきかじょう,excessive self-consciousness
創立記念日,25307,そうりつきねんび,anniversary of the establishment of
犯罪被害者,25456,はんざいひがいしゃ,victim of crime
陸上自衛隊,25557,りくじょうじえいたい,Ground Self-Defense Forces (Defence)
旅行代理店,25727,りょこうだいりてん,travel agent
最高責任者,25739,さいこうせきにんしゃ,chief executive
知的生命体,25804,ちてきせいめいたい,intelligent life
腹腔鏡手術,25828,ふくくうきょうしゅじゅつ,laparoscopic surgery; laparoscopic surgery; laparoscopic surgery
自己顕示欲,26205,じこけんじよく,person who craves the limelight
遺伝子工学,26250,いでんしこうがく,genetic engineering
死亡診断書,26492,しぼうしんだんしょ,death certificate
絶滅危惧種,26552,ぜつめつきぐしゅ,endangered species
運命共同体,26609,うんめいきょうどうたい,(in the) same boat
実行委員会,26767,じっこういいんかい,executive committee
世界選手権,27413,せかいせんしゅけん,world (an international) championship (title)
市議会議員,27519,しぎかいぎいん,city council member
敗者復活戦,27556,はいしゃふっかつせん,repechage
教育実習生,27558,きょういくじっしゅうせい,student teacher
消費者金融,27619,しょうひしゃきんゆう,consumer credit (finance
介護福祉士,27815,かいごふくしし,(certified) care worker
太平洋戦争,27882,たいへいようせんそう,Pacific War (1941-1945)
好奇心旺盛,27888,こうきしんおうせい,brimming with curiosity
平和主義者,27917,へいわしゅぎしゃ,pacifist
情報提供者,27940,じょうほうていきょうしゃ,informant
情緒不安定,27941,じょうちょふあんてい,emotional instability
摩訶不思議,27953,まかふしぎ,profound mystery
火災報知機,28014,かさいほうちき,fire alarm
睡眠導入剤,28055,すいみんどうにゅうざい,sleep inducing drug
自己中心的,28090,じこちゅうしんてき,egoistic
障害物競走,28158,しょうがいぶつきょうそう,obstacle race
集中治療室,28159,しゅうちゅうちりょうしつ,intensive care unit
不特定多数,28208,ふとくていたすう,unspecified large number (of people)
女性恐怖症,28303,じょせいきょうふしょう,gynophobia
産業廃棄物,28458,さんぎょうはいきぶつ,industrial waste
要注意人物,28545,ようちゅういじんぶつ,person requiring special attention
電光掲示板,28595,でんこうけいじばん,electric noticeboard
地球外生命,28709,ちきゅうがいせいめい,extraterrestrial life
金属探知機,28994,きんぞくたんちき,metal detector
産婦人科医,29357,さんふじんかい,obstetrician-gynecologist
地球温暖化,29667,ちきゅうおんだんか,global warming
大動脈解離,29673,だいどうみゃくかいり,aortic dissection
天体望遠鏡,29679,てんたいぼうえんきょう,astronomical telescope
医療関係者,30130,いりょうかんけいしゃ,medical personnel
最優先事項,30299,さいゆうせんじこう,matter of the highest priority
結婚行進曲,30411,けっこんこうしんきょく,wedding march
高等弁務官,30523,こうとうべんむかん,high commissioner
取締役社長,30644,とりしまりやくしゃちょう,managing director
火事場泥棒,30863,かじばどろぼう,looter
統合失調症,30951,とうごうしっちょうしょう,schizophrenia
入国管理局,31170,にゅうこくかんりきょく,Immigration Bureau
写真週刊誌,31177,しゃしんしゅうかんし,weekly pictorial magazine
国土交通省,31226,こくどこうつうしょう,Ministry of Land
少年刑務所,31273,しょうねんけいむしょ,juvenile prison
放射能汚染,31343,ほうしゃのうおせん,radioactive contamination
仮面舞踏会,31701,かめんぶとうかい,masquerade ball
精神安定剤,32060,せいしんあんていざい,tranquilizer
不完全燃焼,32268,ふかんぜんねんしょう,incomplete combustion
