大丈夫,24,だいじょうふ,great man
可能性,322,かのうせい,potentiality
被害者,499,ひがいしゃ,victim
不思議,690,ふしぎ,wonder
攻撃力,763,こうげきりょく,offensive ability
誕生日,955,たんじょうび,birthday
弁護士,995,べんごし,lawyer
研究所,1079,けんきゅうしょ,research establishment
居場所,1218,いばしょ,whereabouts
不可能,1245,ふかのう,impossible
事務所,1274,じむしょ,office
世界中,1312,せかいじゅう,around the world
警察官,1342,けいさつかん,policeman
警視庁,1402,けいしちょう,Metropolitan Police Department (esp. Tokyo)
看護師,1446,かんごし,(hospital) nurse
電子音,1495,でんしおん,electronic sound
旦那様,1533,だんなさま,husband; master (of a house
真面目,1601,しんめんもく,one's true character
小学校,1635,しょうがっこう,primary school
日本人,1686,にほんじん,Japanese person
宇宙人,1754,うちゅうじん,space alien
爆発音,1755,ばくはつおん,sound of an explosion
結婚式,1777,けっこんしき,marriage ceremony
海賊王,1780,かいぞくおう,pirate king
着信音,1817,ちゃくしんおん,ringtone
雰囲気,1831,ふんいき,mood
容疑者,1917,ようぎしゃ,suspect (person)
飛行機,1938,ひこうき,aeroplane
救急車,1946,きゅうきゅうしゃ,ambulance
高校生,1954,こうこうせい,senior high school student
小学生,2042,しょうがくせい,elementary school student
自転車,2044,じてんしゃ,bicycle; bicycle
生意気,2051,なまいき,impertinent
従業員,2115,じゅうぎょういん,employee
世界一,2119,せかいいち,best in the world
魔法使,2126,まほうつかい,magician
天津飯,2141,てんしんはん,crab omelet on rice
犯罪者,2149,はんざいしゃ,criminal
必殺技,2198,ひっさつわざ,killer technique
編集長,2214,へんしゅうちょう,editor-in-chief
理事長,2276,りじちょう,board chairman
幼稚園,2285,ようちえん,kindergarten
徹底的,2334,てっていてき,thorough
圧倒的,2402,あっとうてき,overwhelming
関係者,2456,かんけいしゃ,authorized people
子供達,2469,こどもたち,children
主人公,2488,しゅじんこう,protagonist
北海道,2529,ほっかいどう,Hokkaido (island
新世界,2564,しんせかい,a new world
真犯人,2607,しんはんにん,the real criminal
管制官,2613,かんせいかん,controller (usually air-traffic)
本部長,2622,ほんぶちょう,general manager
料理人,2624,りょうりにん,cook
裏切者,2627,うらぎりもの,betrayer
名探偵,2635,めいたんてい,great detective
魔導士,2670,まどうし,sorcerer
日曜日,2689,にちようび,Sunday
商店街,2741,しょうてんがい,shopping district
同級生,2752,どうきゅうせい,classmate
中学生,2766,ちゅうがくせい,junior high school student
運転手,2776,うんてんしゅ,driver
地球人,2777,ちきゅうじん,earthling
決勝戦,2940,けっしょうせん,finals game of a tournament
出来事,2969,できごと,incident
刑務所,3056,けいむしょ,prison
委員長,3123,いいんちょう,committee chairman
日本語,3182,にほんご,Japanese (language); Japanese as a second language; Japanese (language)
冷蔵庫,3226,れいぞうこ,refrigerator
被告人,3290,ひこくにん,accused
生徒会,3300,せいとかい,student council
科学者,3306,かがくしゃ,scientist
遊園地,3377,ゆうえんち,amusement park
本格的,3411,ほんかくてき,genuine
日本一,3432,にほんいち,Japan's best
具体的,3446,ぐたいてき,concrete
呼出音,3463,よびだしおん,ringtone
宇宙船,3465,うちゅうせん,spaceship
一人前,3476,いちにんまえ,one portion
婚約者,3482,こんやくしゃ,fiance
大統領,3486,だいとうりょう,president
留守番,3504,るすばん,care-taking
仕事中,3531,しごとちゅう,at work
被疑者,3535,ひぎしゃ,suspect (person)
慰謝料,3558,いしゃりょう,consolation money
政治家,3618,せいじか,politician
管理官,3622,かんりかん,administrator
支店長,3638,してんちょう,branch manager
文化祭,3643,ぶんかさい,school festival
報告書,3688,ほうこくしょ,(written) report
犠牲者,3722,ぎせいしゃ,victim
個人的,3733,こじんてき,personal
準決勝,3779,じゅんけっしょう,semifinal
大成功,3782,だいせいこう,huge success
手加減,3783,てかげん,making adjustments based on experience
生命体,3791,せいめいたい,life-form
図書館,3809,としょかん,library; library
放課後,3817,ほうかご,after school
司令官,3823,しれいかん,commandant
手裏剣,3827,しゅりけん,shuriken
小宇宙,3856,しょううちゅう,microcosmos
大人気,3883,おとなげ,adultness
警備員,3887,けいびいん,guard
目撃者,3892,もくげきしゃ,eye-witness
不自然,3899,ふしぜん,unnatural
外国人,3919,がいこくじん,foreigner
挑戦者,3938,ちょうせんしゃ,challenger
野球部,3975,やきゅうぶ,baseball club (i.e. baseball team of a university
不気味,4007,ぶきみ,weird
人間界,4012,にんげんかい,the world of humans
意地悪,4038,いじわる,malicious
外科医,4101,げかい,surgeon
土下座,4110,どげざ,kneeling down on the ground
吸血鬼,4132,きゅうけつき,vampire
騎士団,4147,きしだん,order of chivalry
小百合,4172,さゆり,lily
依頼人,4216,いらいにん,client
全世界,4232,ぜんせかい,the whole world
捜査員,4239,そうさいん,investigator (usu. of criminal cases)
主題歌,4287,しゅだいか,theme song
決定的,4300,けっていてき,definite
不死身,4307,ふじみ,invulnerability
設計図,4328,せっけいず,plan
無意味,4377,むいみ,nonsense
同窓会,4417,どうそうかい,graduate's association
大活躍,4418,だいかつやく,greatly flourishing
不器用,4424,ぶきよう,clumsy
保護者,4448,ほごしゃ,guardian
司会者,4449,しかいしゃ,chairman
無責任,4473,むせきにん,irresponsibility
侵入者,4495,しんにゅうしゃ,intruder
精一杯,4506,せいいっぱい,the best one can do
最終的,4512,さいしゅうてき,final
精神的,4539,せいしんてき,mental
超能力,4548,ちょうのうりょく,extra-sensory perception
殺人犯,4578,さつじんはん,murderer
美少女,4580,びしょうじょ,beautiful girl
四天王,4585,してんのう,the Four Heavenly Kings (Dhrtarastra
土曜日,4622,どようび,Saturday
大至急,4624,だいしきゅう,as soon as possible
保険金,4639,ほけんきん,insurance payout
応援団,4689,おうえんだん,cheering party
身代金,4703,みのしろきん,ransom
動物園,4711,どうぶつえん,zoo
日本中,4713,にほんじゅう,throughout Japan; throughout Japan
大好物,4736,だいこうぶつ,(one's) favourite food
操縦士,4749,そうじゅうし,pilot
駐車場,4751,ちゅうしゃじょう,parking lot
選択肢,4759,せんたくし,choices
富士山,4764,ふじさん,Mount Fuji
