一生懸命,1180,いっしょうけんめい,very hard
携帯電話,1634,けいたいでんわ,mobile telephone
殺人事件,2150,さつじんじけん,a murder
行方不明,2254,ゆくえふめい,missing
校長先生,3051,こうちょうせんせい,school principal
自分自身,3348,じぶんじしん,oneself
女子高生,3632,じょしこうせい,female high-school student
生徒会長,3672,せいとかいちょう,head of the student council
全国大会,3747,ぜんこくたいかい,national convention
中途半端,3917,ちゅうとはんぱ,halfway
錬金術師,3940,れんきんじゅつし,alchemist
人造人間,4011,じんぞうにんげん,robot
捜査本部,4056,そうさほんぶ,(criminal) investigation headquarters
自己紹介,4565,じこしょうかい,self-introduction
対戦相手,4904,たいせんあいて,opponent
自分勝手,4949,じぶんかって,selfishness
緊急事態,5028,きんきゅうじたい,state of emergency
指名手配,5247,しめいてはい,(the police) wanting (someone) for questioning
世界征服,5403,せかいせいふく,world conquest
秘密基地,5496,ひみつきち,secret base
交通事故,5596,こうつうじこ,traffic accident
自業自得,5658,じごうじとく,paying for one's mistakes
目撃情報,5685,もくげきじょうほう,eyewitness report
電話番号,5724,でんわばんごう,telephone number
事情聴取,5773,じじょうちょうしゅ,inquiry
警視総監,5814,けいしそうかん,Superintendent General of the Metropolitan Police
誘拐事件,5836,ゆうかいじけん,kidnapping
修学旅行,5877,しゅうがくりょこう,excursion
一人一人,6062,ひとりひとり,one by one
立入禁止,6203,たちいりきんし,No Entry
一件落着,6296,いっけんらくちゃく,an issue being settled
絶体絶命,6307,ぜったいぜつめい,desperate situation with no escape
毎日毎日,6469,まいにちまいにち,day after day
記者会見,6699,きしゃかいけん,press conference
正真正銘,6762,しょうしんしょうめい,genuine
目撃証言,6888,もくげきしょうげん,eyewitness testimony
巡査部長,6935,じゅんさぶちょう,police sergeant
気分転換,6983,きぶんてんかん,change of pace
学生時代,7031,がくせいじだい,student days
記憶喪失,7081,きおくそうしつ,loss of memory
連続殺人,7082,れんぞくさつじん,serial murders
日本代表,7147,にほんだいひょう,Japanese representative
犯行現場,7152,はんこうげんば,scene of the crime (offense
新聞記者,7261,しんぶんきしゃ,newspaper reporter
試合終了,7356,しあいしゅうりょう,the end of the match
制限時間,7427,せいげんじかん,time limit
電光石火,7479,でんこうせっか,lightning speed
花火大会,7527,はなびたいかい,display of fireworks
家庭教師,7561,かていきょうし,private tutor
真剣勝負,7564,しんけんしょうぶ,fighting with real swords
改造人間,7596,かいぞうにんげん,cyborg
秘密兵器,7629,ひみつへいき,secret weapon
都市伝説,7707,としでんせつ,urban legend
不動産屋,7710,ふどうさんや,real estate agent
高校時代,7779,こうこうじだい,one's high school days
司法解剖,7806,しほうかいぼう,legally-ordered autopsy
学級委員,7829,がっきゅういいん,class representative
事件解決,7844,じけんかいけつ,resolution of an incident
結婚相手,7910,けっこんあいて,marriage partner
意識不明,7978,いしきふめい,unconscious
練習試合,7987,れんしゅうじあい,practice game
人間関係,8013,にんげんかんけい,human relations
予想以上,8031,よそういじょう,more than expected
天気予報,8081,てんきよほう,weather forecast
正体不明,8203,しょうたいふめい,unidentifiable
犯行時刻,8246,はんこうじこく,time of the crime
試合開始,8362,しあいかいし,beginning of the game
女子大生,8519,じょしだいせい,female university student
江戸時代,8528,えどじだい,Edo period (1603-1868 CE)
瞬間移動,8559,しゅんかんいどう,teleportation
不老不死,8571,ふろうふし,perpetual youth and longevity
女子生徒,8674,じょしせいと,schoolgirl
恋人同士,8679,こいびとどうし,pair of lovers
問答無用,8725,もんどうむよう,there being no use in arguing (about it)
情報収集,8729,じょうほうしゅうしゅう,intelligence gathering
教頭先生,8784,きょうとうせんせい,vice principal
個人情報,8870,こじんじょうほう,personal information
実行委員,8959,じっこういいん,action committee
紙飛行機,9026,かみひこうき,paper airplane (aeroplane)
前代未聞,9037,ぜんだいみもん,unheard-of
透明人間,9090,とうめいにんげん,invisible man
一石二鳥,9183,いっせきにちょう,killing two birds with one stone
駄菓子屋,9247,だがしや,small-time candy store
宣戦布告,9328,せんせんふこく,declaration of war
運動神経,9355,うんどうしんけい,motor nerves
司法試験,9420,しほうしけん,bar examination
総理大臣,9571,そうりだいじん,prime minister (as the head of a cabinet government)
公衆電話,9581,こうしゅうでんわ,public telephone
救急隊員,9651,きゅうきゅうたいいん,rescue worker
優勝候補,9669,ゆうしょうこうほ,favorite (top choice) for the championship (favourite)
完全犯罪,9716,かんぜんはんざい,perfect crime
専業主婦,9825,せんぎょうしゅふ,housewife
応急処置,9828,おうきゅうしょち,emergency measure
生命保険,9840,せいめいほけん,life insurance
時限爆弾,9877,じげんばくだん,time bomb
単刀直入,9898,たんとうちょくにゅう,straight to the point
正当防衛,9903,せいとうぼうえい,legitimate self-defence
原因不明,9928,げんいんふめい,cause unknown
戦国時代,9940,せんごくじだい,Warring States period (of Japanese history
殺人未遂,9973,さつじんみすい,attempted murder
結婚詐欺,9978,けっこんさぎ,marriage fraud
健康診断,9989,けんこうしんだん,physical examination
全身全霊,9990,ぜんしんぜんれい,complete devotion
非常事態,10020,ひじょうじたい,state of emergency
新婚旅行,10037,しんこんりょこう,honeymoon
暗証番号,10105,あんしょうばんごう,personal identification number
一人息子,10149,ひとりむすこ,only son
銀行強盗,10192,ぎんこうごうとう,bank robbery; bank robber
